p,[ 984.40663089  129.50910445  -87.04169335 -250.97121434]
pip,[ 278.98448576 -235.72839496  -44.69914072   28.04762069]
p,[1062.65568118  254.03500298  394.62770575  165.07964093]
pip,[ 220.54232664 -129.48616167 -110.3083103    14.98477747]
p,"[1214.629754560186, 473.08474474336447, -189.7094882636278, -577.7590977360684]"
pip,"[170.977649834737, -40.949061146680684, -33.38436088207343, 83.43998251863927]"
p,"[1265.2378370831748, -549.0895436324065, 598.3907911507146, -243.99778385569093]"
pip,"[179.64053047705332, -30.036096281822537, 107.7205898648684, 16.883208504044088]"
